door_id,door_name,location,fire_class,security_class,lock_type,automation_model,wall_type,building_code,floor_number,wing_section,width_mm,height_mm,thickness_mm,material,frame_type,hinges_count,door_swing,has_closer,has_panic_bar,has_visual_alarm,has_acoustic_alarm,installation_date,last_maintenance_date,maintenance_interval_months,warranty_expiry_date,manufacturer,model_number,batch_number,serial_number,weight_kg,cost_eur,status,notes
D-001,Main Entrance Lobby,Building A - Floor 2,EI30,HIGH,mortise,Model-X1,exterior_brick,BLDA,2,North,1200,2100,45,steel,steel_frame,3,both,true,true,false,false,2020-01-15,2024-01-10,24,2025-01-15,Assa Abloy,AD200,BATCH-001,SN-001-001,75.5,2500.00,operational,Main entry point
D-002,Side Door Emergency,Building A - Ground,EI60,MEDIUM,electronic,Model-E2,exterior_concrete,BLDA,0,East,900,2100,40,wood_composite,wood_frame,2,single,true,true,false,false,2019-06-20,2023-12-05,12,2024-06-20,Assa Abloy,AX300,BATCH-002,SN-001-002,65.0,1800.00,operational,Emergency exit
D-003,Loading Dock Door,Building B - Ground,EI120,LOW,mortise,Model-M3,industrial_steel,BLDB,0,South,2000,2500,50,steel,steel_reinforced,4,single,true,false,false,true,2018-03-10,2023-09-01,24,2024-03-10,Assa Abloy,AD400,BATCH-003,SN-002-001,120.0,3200.00,operational,Heavy use area
D-004,Office Suite Access,Building A - Floor 3,EI30,MEDIUM,electronic,Model-E3,interior_drywall,BLDA,3,North,800,2100,35,glass_aluminium,aluminium_frame,2,single,false,false,false,false,2021-05-12,2024-01-20,36,2026-05-12,Dormakaba,MLD400,BATCH-004,SN-001-003,55.0,1200.00,operational,Modern office
D-005,Server Room Access,Building C - Floor 1,EI60,VERY_HIGH,electronic,Model-E4,interior_concrete,BLDC,1,West,900,2100,45,steel_reinforced,steel_frame,3,single,true,false,true,false,2022-02-01,2024-02-15,12,2027-02-01,Assa Abloy,AD800,BATCH-005,SN-003-001,85.0,4500.00,operational,Secure access
D-006,Stairwell Door 2-3,Building A - Floor 2,EI30,LOW,mortise,Model-M4,interior_concrete,BLDA,2,Central,1000,2200,40,steel,steel_frame,2,single,true,false,false,false,2020-11-05,2023-10-30,24,2025-11-05,Assa Abloy,AD250,BATCH-006,SN-001-004,70.0,1400.00,operational,Between floors
D-007,Conference Room A,Building A - Floor 2,EI30,LOW,mortise,Model-M5,interior_drywall,BLDA,2,North,1200,2100,35,wood_veneered,wood_frame,2,single,false,false,false,false,2021-08-20,2023-12-10,36,2026-08-20,Dormakaba,MD100,BATCH-007,SN-001-005,60.0,800.00,operational,Meeting space
D-008,Toilet Access Hallway,Building B - Floor 1,EI30,LOW,mortise,Model-M6,interior_drywall,BLDB,1,East,900,2100,35,wood_composite,wood_frame,2,single,false,false,false,false,2020-09-10,2023-08-15,36,2025-09-10,Dormakaba,MD150,BATCH-008,SN-002-002,50.0,600.00,operational,High traffic
D-009,Roof Access Hatch,Building A - Roof,EI90,MEDIUM,electronic,Model-E5,interior_steel,BLDA,4,North,1500,2000,50,steel,steel_frame,4,single,true,false,false,false,2019-12-01,2024-01-15,12,2024-12-01,Assa Abloy,AD600,BATCH-009,SN-001-006,100.0,2800.00,operational,Restricted access
D-010,Basement Level B1,Building C - Floor -1,EI120,LOW,mortise,Model-M7,interior_concrete,BLDC,-1,South,1100,2100,45,steel,steel_frame,3,single,true,false,false,false,2017-07-20,2023-06-01,24,2024-07-20,Assa Abloy,AD350,BATCH-010,SN-003-002,78.0,1600.00,operational,Utility area
